x,y,ID
19.2,60.7,138
19.2,60.8,139
19.2,60.9,140
19.2,61,141
19.2,61.1,142
19.2,61.2,143
19.2,61.3,144
19.2,61.4,145
19.2,61.5,146
19.2,61.6,147
19.2,61.7,148
19.2,61.8,149
19.2,61.9,150
19.2,62,151
19.2,62.1,152
19.2,62.2,153
19.2,62.3,154
19.2,62.4,155
19.2,62.5,156
19.2,62.6,157
19.2,62.7,158
19.2,62.8,159
19.2,62.9,160
19.2,63,161
19.2,63.1,162
19.2,63.2,163
19.2,63.3,164
19.2,63.4,165
19.2,63.5,166
19.2,63.6,167
19.2,63.7,168
19.2,63.8,169
19.2,63.9,170
19.2,64,171
19.2,64.1,172
19.2,64.2,173
19.2,64.3,174
19.2,64.4,175
19.2,64.5,176
19.2,64.6,177
19.2,64.7,178
19.2,64.8,179
19.2,64.9,180
19.2,65,181
19.2,65.1,182
19.2,65.2,183
19.2,65.3,184
19.2,65.4,185
19.2,65.5,186
19.2,65.6,187
19.2,65.7,188
19.2,65.8,189
19.2,65.9,190
19.2,66,191
19.2,66.1,192
19.2,66.2,193
19.2,66.3,194
19.2,66.4,195
19.2,66.5,196
19.2,66.6,197
19.2,66.7,198
19.2,66.8,199
19.2,66.9,200
19.2,67,201
19.2,67.1,202
19.2,67.2,203
19.2,67.3,204
19.2,67.4,205
19.2,67.5,206
19.2,67.6,207
19.2,67.7,208
19.2,67.8,209
19.2,67.9,210
19.2,68,211
19.2,68.1,212
19.2,68.2,213
19.2,68.3,214
19.2,68.4,215
19.2,68.5,216
19.2,68.6,217
19.2,68.7,218
19.2,68.8,219
19.2,68.9,220
19.2,69,221
19.2,69.1,222
19.2,69.2,223
19.2,69.3,224
19.2,69.4,225
19.2,69.5,226
19.2,69.6,227
19.2,69.7,228
19.2,69.8,229
19.2,69.9,230
19.2,70,231
19.2,70.1,232
19.2,70.2,233
19.2,70.3,234
19.2,70.4,235
19.2,70.5,236
19.2,70.6,237
19.2,70.7,238
19.2,70.8,239
19.2,70.9,240
19.4,59,241
19.4,59.1,242
19.4,59.2,243
19.4,59.3,244
19.4,59.4,245
19.4,59.5,246
19.4,59.6,247
19.4,59.7,248
19.4,59.8,249
19.4,59.9,250
19.4,60,251
19.4,60.1,252
19.4,60.2,253
19.4,60.3,254
19.4,60.4,255
19.4,60.5,256
19.4,60.6,257
19.4,60.7,258
19.4,60.8,259
19.4,60.9,260
19.4,61,261
19.4,61.1,262
19.4,61.2,263
19.4,61.3,264
19.4,61.4,265
19.4,61.5,266
19.4,61.6,267
19.4,61.7,268
19.4,61.8,269
19.4,61.9,270
19.4,62,271
19.4,62.1,272
19.4,62.2,273
19.4,62.3,274
19.4,62.4,275
19.4,62.5,276
19.4,62.6,277
19.4,62.7,278
19.4,62.8,279
19.4,62.9,280
19.4,63,281
19.4,63.1,282
19.4,63.2,283
19.4,63.3,284
19.4,63.4,285
19.4,63.5,286
19.4,63.6,287
19.4,63.7,288
19.4,63.8,289
19.4,63.9,290
19.4,64,291
19.4,64.1,292
19.4,64.2,293
19.4,64.3,294
19.4,64.4,295
19.4,64.5,296
19.4,64.6,297
19.4,64.7,298
19.4,64.8,299
19.4,64.9,300
19.4,65,301
19.4,65.1,302
19.4,65.2,303
19.4,65.3,304
19.4,65.4,305
19.4,65.5,306
19.4,65.6,307
19.4,65.7,308
19.4,65.8,309
19.4,65.9,310
19.4,66,311
19.4,66.1,312
19.4,66.2,313
19.4,66.3,314
19.4,66.4,315
19.4,66.5,316
19.4,66.6,317
19.4,66.7,318
19.4,66.8,319
19.4,66.9,320
19.4,67,321
19.4,67.1,322
19.4,67.2,323
19.4,67.3,324
19.4,67.4,325
19.4,67.5,326
19.4,67.6,327
19.4,67.7,328
19.4,67.8,329
19.4,67.9,330
19.4,68,331
19.4,68.1,332
19.4,68.2,333
19.4,68.3,334
19.4,68.4,335
19.4,68.5,336
19.4,68.6,337
19.4,68.7,338
19.4,68.8,339
19.4,68.9,340
19.4,69,341
19.4,69.1,342
19.4,69.2,343
19.4,69.3,344
19.4,69.4,345
19.4,69.5,346
19.4,69.6,347
19.4,69.7,348
19.4,69.8,349
19.4,69.9,350
19.4,70,351
19.4,70.1,352
19.4,70.2,353
19.4,70.3,354
19.4,70.4,355
19.4,70.5,356
19.4,70.6,357
19.4,70.7,358
19.4,70.8,359
19.4,70.9,360
19.6,59,361
19.6,59.1,362
19.6,59.2,363
19.6,59.3,364
19.6,59.4,365
19.6,59.5,366
19.6,59.6,367
19.6,59.7,368
19.6,59.8,369
19.6,59.9,370
19.6,60,371
19.6,60.1,372
19.6,60.2,373
19.6,60.3,374
19.6,60.4,375
19.6,60.5,376
19.6,60.6,377
19.6,60.7,378
19.6,60.8,379
19.6,60.9,380
19.6,61,381
19.6,61.1,382
19.6,61.2,383
19.6,61.3,384
19.6,61.4,385
